20 20
0 0 1; 40450 2442.58 -704200; 47950 2463.371 -704200; 47950 2449.478 -699200; 40450 2473.418 -699200
0 1 1; 40450 2473.418 -699200; 47950 2449.478 -699200; 47950 2437.595 -694200; 40450 2465.222 -694200
0 2 1; 40450 2465.222 -694200; 47950 2437.595 -694200; 47950 2428.452 -689200; 40450 2455.57 -689200
0 3 1; 40450 2455.57 -689200; 47950 2428.452 -689200; 47950 2421.437 -684200; 40450 2436.018 -684200
0 4 1; 40450 2436.018 -684200; 47950 2421.437 -684200; 47950 2408.578 -679200; 40450 2420.948 -679200
0 5 1; 40450 2440.042 -679200; 47950 2433.338 -679200; 47950 2382.418 -674200; 40450 2418.604 -674200
0 6 1; 40450 2418.604 -674200; 47950 2382.418 -674200; 47950 2354.245 -669200; 40450 2396.846 -669200
0 7 1; 40450 2396.846 -669200; 47950 2354.245 -669200; 47950 2351.695 -664200; 40450 2380.248 -664200
0 8 1; 40450 2380.248 -664200; 47950 2351.695 -664200; 47950 2350.744 -659200; 40450 2370.451 -659200
0 9 1; 40450 2370.451 -659200; 47950 2350.744 -659200; 47950 2349.809 -654200; 40450 2369.49 -654200
0 10 1; 40450 2369.49 -654200; 47950 2349.809 -654200; 47950 2349.574 -649200; 40450 2369.458 -649200
0 11 1; 40450 2369.458 -649200; 47950 2349.574 -649200; 47950 2350.25 -644200; 40450 2370.18 -644200
0 12 1; 40450 2370.18 -644200; 47950 2350.25 -644200; 47950 2351.428 -639200; 40450 2371.471 -639200
0 13 1; 40450 2371.471 -639200; 47950 2351.428 -639200; 47950 2351.456 -634200; 40450 2385.966 -634200
0 14 1; 40450 2385.966 -634200; 47950 2351.456 -634200; 47950 2350.977 -629200; 40450 2405.13 -629200
0 15 1; 40450 2405.13 -629200; 47950 2350.977 -629200; 47950 2356.2 -624200; 40450 2425.744 -624200
0 16 1; 40450 2425.744 -624200; 47950 2356.2 -624200; 47950 2372.957 -619200; 40450 2446.18 -619200
0 17 1; 40450 2446.18 -619200; 47950 2372.957 -619200; 47950 2398.078 -614200; 40450 2467.102 -614200
0 18 1; 40450 2467.102 -614200; 47950 2398.078 -614200; 47950 2431.072 -609200; 40450 2495.542 -609200
0 19 1; 40450 2495.542 -609200; 47950 2431.072 -609200; 47950 2459.171 -604200; 40450 2507.359 -604200
1 0 1; 47950 2463.371 -704200; 55450 2443.312 -704200; 55450 2429.114 -699200; 47950 2449.478 -699200
1 1 1; 47950 2449.478 -699200; 55450 2429.114 -699200; 55450 2421.715 -694200; 47950 2437.595 -694200
1 2 1; 47950 2437.595 -694200; 55450 2421.715 -694200; 55450 2410.908 -689200; 47950 2428.452 -689200
1 3 1; 47950 2428.452 -689200; 55450 2410.908 -689200; 55450 2393.256 -684200; 47950 2421.437 -684200
1 4 1; 47950 2421.437 -684200; 55450 2393.256 -684200; 55450 2369.171 -679200; 47950 2408.578 -679200
1 5 1; 47950 2408.578 -679200; 55450 2369.171 -679200; 55450 2349.261 -674200; 47950 2384.637 -674200
1 6 1; 47950 2384.637 -674200; 55450 2349.261 -674200; 55450 2336.295 -669200; 47950 2358.525 -669200
1 7 1; 47950 2354.245 -669200; 55450 2354.045 -669200; 55450 2345.033 -664200; 47950 2351.695 -664200
1 8 1; 47950 2351.695 -664200; 55450 2345.033 -664200; 55450 2337.198 -659200; 47950 2350.744 -659200
1 9 1; 47950 2350.744 -659200; 55450 2337.198 -659200; 55450 2330.128 -654200; 47950 2349.809 -654200
1 10 1; 47950 2349.809 -654200; 55450 2330.128 -654200; 55450 2328.975 -649200; 47950 2349.574 -649200
1 11 1; 47950 2349.574 -649200; 55450 2328.975 -649200; 55450 2329.327 -644200; 47950 2350.25 -644200
1 12 1; 47950 2350.25 -644200; 55450 2329.327 -644200; 55450 2330.921 -639200; 47950 2351.428 -639200
1 13 1; 47950 2351.428 -639200; 55450 2330.921 -639200; 55450 2334.086 -634200; 47950 2351.456 -634200
1 14 1; 47950 2351.456 -634200; 55450 2334.086 -634200; 55450 2338.602 -629200; 47950 2350.977 -629200
1 15 1; 47950 2350.977 -629200; 55450 2338.602 -629200; 55450 2343.237 -624200; 47950 2356.2 -624200
1 16 1; 47950 2356.2 -624200; 55450 2343.237 -624200; 55450 2342.575 -619200; 47950 2372.957 -619200
