20 20
0 0 1; 0 -39.5 1520; 108.5206 -39.5 1444.013; 204.65 -39.5 1581.3; 96.12936 -39.5 1657.287
0 1 1; 96.12936 -39.5 1657.287; 204.65 -39.5 1581.3; 300.7794 -39.5 1718.587; 192.2587 -39.5 1794.574
0 2 1; 192.2587 -39.5 1794.574; 300.7794 -39.5 1718.587; 396.9087 -39.5 1855.874; 288.3881 -39.5 1931.861
0 3 1; 288.3881 -39.5 1931.861; 396.9087 -39.5 1855.874; 493.0381 -39.5 1993.161; 384.5175 -39.5 2069.148
0 4 1; 384.5175 -39.5 2069.148; 493.0381 -39.5 1993.161; 589.1675 -39.5 2130.448; 480.6469 -39.5 2206.435
0 5 1; 480.6469 -39.5 2206.435; 589.1675 -39.5 2130.448; 685.2968 -39.5 2267.735; 576.7762 -39.5 2343.722
0 6 1; 576.7762 -39.5 2343.722; 685.2968 -39.5 2267.735; 781.4262 -39.5 2405.022; 672.9056 -39.5 2481.009
0 7 1; 672.9056 -39.5 2481.009; 781.4262 -39.5 2405.022; 877.5556 -39.5 2542.309; 769.0349 -39.5 2618.296
0 8 1; 769.0349 -39.5 2618.296; 877.5556 -39.5 2542.309; 973.6849 -39.5 2679.596; 865.1643 -39.5 2755.583
0 9 1; 865.1643 -39.5 2755.583; 973.6849 -39.5 2679.596; 1069.814 -39.5 2816.883; 961.2937 -39.5 2892.87
0 10 1; 961.2937 -39.5 2892.87; 1069.814 -39.5 2816.883; 1165.944 -39.5 2954.17; 1057.423 -39.5 3030.156
0 11 1; 1057.423 -39.5 3030.156; 1165.944 -39.5 2954.17; 1262.073 -39.5 3091.457; 1153.552 -39.5 3167.444
0 12 1; 1153.552 -39.5 3167.444; 1262.073 -39.5 3091.457; 1358.202 -39.5 3228.744; 1249.682 -39.5 3304.73
0 13 1; 1249.682 -39.5 3304.73; 1358.202 -39.5 3228.744; 1454.332 -39.5 3366.031; 1345.811 -39.5 3442.018
0 14 1; 1345.811 -39.5 3442.018; 1454.332 -39.5 3366.031; 1550.461 -39.5 3503.318; 1441.941 -39.5 3579.304
0 15 1; 1441.941 -39.5 3579.304; 1550.461 -39.5 3503.318; 1646.59 -39.5 3640.604; 1538.07 -39.5 3716.592
0 16 1; 1538.07 -39.5 3716.592; 1646.59 -39.5 3640.604; 1742.72 -39.5 3777.891; 1634.199 -39.5 3853.878
0 17 1; 1634.199 -39.5 3853.878; 1742.72 -39.5 3777.891; 1838.849 -39.5 3915.178; 1730.329 -39.5 3991.165
0 18 1; 1730.329 -39.5 3991.165; 1838.849 -39.5 3915.178; 1934.979 -39.5 4052.465; 1826.458 -39.5 4128.452
0 19 1; 1826.458 -39.5 4128.452; 1934.979 -39.5 4052.465; 2031.108 -39.5 4189.752; 1922.587 -39.5 4265.739
1 0 1; 108.5206 -39.5 1444.013; 217.0413 -39.5 1368.026; 313.1706 -39.5 1505.313; 204.65 -39.5 1581.3
1 1 1; 204.65 -39.5 1581.3; 313.1706 -39.5 1505.313; 409.3 -39.5 1642.6; 300.7794 -39.5 1718.587
1 2 1; 300.7794 -39.5 1718.587; 409.3 -39.5 1642.6; 505.4294 -39.5 1779.887; 396.9087 -39.5 1855.874
1 3 1; 396.9087 -39.5 1855.874; 505.4294 -39.5 1779.887; 601.5587 -39.5 1917.174; 493.0381 -39.5 1993.161
1 4 1; 493.0381 -39.5 1993.161; 601.5587 -39.5 1917.174; 697.6881 -39.5 2054.461; 589.1675 -39.5 2130.448
1 5 1; 589.1675 -39.5 2130.448; 697.6881 -39.5 2054.461; 793.8174 -39.5 2191.748; 685.2968 -39.5 2267.735
1 6 1; 685.2968 -39.5 2267.735; 793.8174 -39.5 2191.748; 889.9468 -39.5 2329.035; 781.4262 -39.5 2405.022
1 7 1; 781.4262 -39.5 2405.022; 889.9468 -39.5 2329.035; 986.0762 -39.5 2466.322; 877.5556 -39.5 2542.309
1 8 1; 877.5556 -39.5 2542.309; 986.0762 -39.5 2466.322; 1082.206 -39.5 2603.609; 973.6849 -39.5 2679.596
1 9 1; 973.6849 -39.5 2679.596; 1082.206 -39.5 2603.609; 1178.335 -39.5 2740.896; 1069.814 -39.5 2816.883
1 10 1; 1069.814 -39.5 2816.883; 1178.335 -39.5 2740.896; 1274.464 -39.5 2878.183; 1165.944 -39.5 2954.17
1 11 1; 1165.944 -39.5 2954.17; 1274.464 -39.5 2878.183; 1370.594 -39.5 3015.47; 1262.073 -39.5 3091.457
1 12 1; 1262.073 -39.5 3091.457; 1370.594 -39.5 3015.47; 1466.723 -39.5 3152.757; 1358.202 -39.5 3228.744
1 13 1; 1358.202 -39.5 3228.744; 1466.723 -39.5 3152.757; 1562.852 -39.5 3290.043; 1454.332 -39.5 3366.031
1 14 1; 1454.332 -39.5 3366.031; 1562.852 -39.5 3290.043; 1658.982 -39.5 3427.331; 1550.461 -39.5 3503.318
1 15 1; 1550.461 -39.5 3503.318; 1658.982 -39.5 3427.331; 1755.111 -39.5 3564.617; 1646.59 -39.5 3640.604
1 16 1; 1646.59 -39.5 3640.604; 1755.111 -39.5 3564.617; 1851.24 -39.5 3701.905; 1742.72 -39.5 3777.891
1 17 1; 1742.72 -39.5 3777.891; 1851.24 -39.5 3701.905; 1947.37 -39.5 3839.191; 1838.849 -39.5 3915.178
1 18 1; 1838.849 -39.5 3915.178; 1947.37 -39.5 3839.191; 2043.499 -39.5 3976.479; 1934.979 -39.5 4052.465
1 19 1; 1934.979 -39.5 4052.465; 2043.499 -39.5 3976.479; 2139.629 -39.5 4113.765; 2031.108 -39.5 4189.752
2 0 1; 217.0413 -39.5 1368.026; 325.5619 -39.5 1292.039; 421.6913 -39.5 1429.326; 313.1706 -39.5 1505.313
2 1 1; 313.1706 -39.5 1505.313; 421.6913 -39.5 1429.326; 517.8206 -39.5 1566.613; 409.3 -39.5 1642.6
2 2 1; 409.3 -39.5 1642.6; 517.8206 -39.5 1566.613; 613.95 -39.5 1703.9; 505.4294 -39.5 1779.887
2 3 1; 505.4294 -39.5 1779.887; 613.95 -39.5 1703.9; 710.0793 -39.5 1841.187; 601.5587 -39.5 1917.174
